antecedents,consequents,support,confidence,lift
frozenset({3}),frozenset({18}),0.05,0.5,1.8181818181818181
frozenset({18}),frozenset({3}),0.05,0.18181818181818182,1.8181818181818181
frozenset({24}),frozenset({18}),0.05,0.5,1.8181818181818181
frozenset({18}),frozenset({24}),0.05,0.18181818181818182,1.8181818181818181
"frozenset({18, 14})",frozenset({8}),0.05,0.4,1.777777777777778
frozenset({16}),frozenset({8}),0.1,0.4,1.777777777777778
frozenset({8}),frozenset({16}),0.1,0.4444444444444445,1.777777777777778
frozenset({8}),"frozenset({18, 14})",0.05,0.22222222222222224,1.777777777777778
frozenset({14}),frozenset({6}),0.075,0.3,1.7142857142857144
frozenset({6}),frozenset({14}),0.075,0.4285714285714286,1.7142857142857144
frozenset({6}),frozenset({19}),0.05,0.28571428571428575,1.63265306122449
frozenset({19}),frozenset({6}),0.05,0.28571428571428575,1.63265306122449
frozenset({8}),frozenset({18}),0.1,0.4444444444444445,1.6161616161616161
frozenset({18}),frozenset({8}),0.1,0.36363636363636365,1.6161616161616161
frozenset({25}),frozenset({1}),0.05,0.2,1.6
frozenset({1}),frozenset({25}),0.05,0.4,1.6
frozenset({18}),frozenset({1}),0.05,0.18181818181818182,1.4545454545454546
frozenset({1}),frozenset({18}),0.05,0.4,1.4545454545454546
frozenset({7}),frozenset({22}),0.05,0.28571428571428575,1.4285714285714286
frozenset({22}),frozenset({19}),0.05,0.25,1.4285714285714286
frozenset({22}),frozenset({7}),0.05,0.25,1.4285714285714286
frozenset({19}),frozenset({22}),0.05,0.28571428571428575,1.4285714285714286
frozenset({14}),frozenset({8}),0.075,0.3,1.3333333333333333
frozenset({8}),frozenset({14}),0.075,0.3333333333333333,1.3333333333333333
frozenset({19}),frozenset({8}),0.05,0.28571428571428575,1.26984126984127
frozenset({8}),frozenset({19}),0.05,0.22222222222222224,1.26984126984127
frozenset({10}),frozenset({22}),0.05,0.25,1.25
frozenset({22}),frozenset({10}),0.05,0.25,1.25
frozenset({18}),frozenset({17}),0.05,0.18181818181818182,1.2121212121212122
frozenset({17}),frozenset({18}),0.05,0.33333333333333337,1.2121212121212122
frozenset({19}),frozenset({25}),0.05,0.28571428571428575,1.142857142857143
frozenset({25}),frozenset({19}),0.05,0.2,1.142857142857143
frozenset({7}),frozenset({14}),0.05,0.28571428571428575,1.142857142857143
frozenset({14}),frozenset({7}),0.05,0.2,1.142857142857143
frozenset({6}),frozenset({18}),0.05,0.28571428571428575,1.038961038961039
frozenset({18}),frozenset({6}),0.05,0.18181818181818182,1.038961038961039
frozenset({10}),frozenset({14}),0.05,0.25,1.0
frozenset({14}),frozenset({10}),0.05,0.2,1.0
frozenset({16}),frozenset({10}),0.05,0.2,1.0
frozenset({10}),frozenset({16}),0.05,0.25,1.0
